timestamp,frame,joint_name,x,y,z,angle,velocity,acceleration
0.066,2,elbow_left,569.4,399.7,789.3,169.5,4.8,0.7
0.066,2,elbow_right,699.7,398.1,790.8,171.3,4.5,0.6
0.100,3,hip_left,578.5,447.2,799.0,85.7,16.3,3.5
0.100,3,hip_right,688.2,453.5,796.8,83.1,14.9,3.1
0.100,3,knee_left,583.8,647.0,803.9,161.0,13.9,2.3
0.100,3,knee_right,683.7,650.0,802.0,164.5,13.3,2.1
0.100,3,ankle_left,586.3,848.2,809.0,92.7,10.1,1.5
0.100,3,ankle_right,682.0,846.2,807.2,91.7,8.9,1.3
0.100,3,shoulder_left,574.6,249.6,794.5,177.0,6.5,1.0
0.100,3,shoulder_right,694.1,251.2,792.7,175.3,6.1,0.9
0.100,3,elbow_left,569.0,399.4,788.9,169.1,5.2,0.8
0.100,3,elbow_right,699.3,397.8,790.4,170.9,4.9,0.7
0.133,4,hip_left,577.8,445.9,798.5,83.5,17.1,3.7
0.133,4,hip_right,687.5,452.8,796.3,80.9,15.7,3.4
0.133,4,knee_left,583.3,645.9,803.4,159.6,14.6,2.5
0.133,4,knee_right,683.1,649.3,801.4,163.2,14.0,2.3
0.133,4,ankle_left,585.9,847.4,808.6,91.9,10.7,1.7
0.133,4,ankle_right,681.6,845.5,806.7,91.0,9.4,1.5
0.133,4,shoulder_left,574.2,249.3,794.2,176.6,7.0,1.1
0.133,4,shoulder_right,693.7,250.9,792.3,174.9,6.6,1.0
0.133,4,elbow_left,568.6,399.1,788.5,168.7,5.7,0.9
0.133,4,elbow_right,698.9,397.5,790.0,170.5,5.3,0.8
0.166,5,hip_left,577.1,444.6,798.0,81.3,17.8,4.0
0.166,5,hip_right,686.8,452.1,795.8,78.7,16.5,3.7
0.166,5,knee_left,582.8,644.8,802.9,158.2,15.3,2.7
0.166,5,knee_right,682.5,648.6,800.8,161.9,14.7,2.5
0.166,5,ankle_left,585.5,846.6,808.2,91.1,11.3,1.8
0.166,5,ankle_right,681.2,844.8,806.2,90.3,10.0,1.6
0.166,5,shoulder_left,573.8,249.0,793.9,176.2,7.4,1.2
0.166,5,shoulder_right,693.3,250.6,791.9,174.5,7.0,1.1
0.166,5,elbow_left,568.2,398.8,788.1,168.3,6.1,1.0
0.166,5,elbow_right,698.5,397.2,789.6,170.1,5.7,0.9
0.200,6,hip_left,576.4,443.3,797.5,79.1,18.6,4.2
0.200,6,hip_right,686.1,451.4,795.3,76.5,17.3,4.0
0.200,6,knee_left,582.3,643.7,802.4,156.8,16.0,2.9
0.200,6,knee_right,681.9,647.9,800.2,160.6,15.4,2.7
0.200,6,ankle_left,585.1,845.8,807.8,90.3,11.9,2.0
0.200,6,ankle_right,680.8,844.1,805.7,89.6,10.6,1.8
0.200,6,shoulder_left,573.4,248.7,793.6,175.8,7.9,1.3
0.200,6,shoulder_right,692.9,250.3,791.5,174.1,7.5,1.2
0.200,6,elbow_left,567.8,398.5,787.7,167.9,6.6,1.1
0.200,6,elbow_right,698.1,396.9,789.2,169.7,6.1,1.0
0.233,7,hip_left,575.7,442.0,797.0,76.9,19.3,4.5
0.233,7,hip_right,685.4,450.7,794.8,74.3,18.1,4.2
0.233,7,knee_left,581.8,642.6,801.9,155.4,16.7,3.1
0.233,7,knee_right,681.3,647.2,799.6,159.3,16.1,2.9
0.233,7,ankle_left,584.7,845.0,807.4,89.5,12.5,2.1
0.233,7,ankle_right,680.4,843.4,805.2,88.9,11.2,1.9
0.233,7,shoulder_left,573.0,248.4,793.3,175.4,8.3,1.4
0.233,7,shoulder_right,692.5,250.0,791.1,173.7,7.9,1.3
0.233,7,elbow_left,567.4,398.2,787.3,167.5,7.0,1.2
0.233,7,elbow_right,697.7,396.6,788.8,169.3,6.5,1.1
0.266,8,hip_left,575.0,440.7,796.5,74.7,20.1,4.7
0.266,8,hip_right,684.7,450.0,794.3,72.1,18.9,4.5
0.266,8,knee_left,581.3,641.5,801.4,154.0,17.4,3.3
0.266,8,knee_right,680.7,646.5,799.0,158.0,16.8,3.1
0.266,8,ankle_left,584.3,844.2,807.0,88.7,13.1,2.3
0.266,8,ankle_right,680.0,842.7,804.7,88.2,11.8,2.1
0.266,8,shoulder_left,572.6,248.1,793.0,175.0,8.8,1.5
0.266,8,shoulder_right,692.1,249.7,790.7,173.3,8.4,1.4
0.266,8,elbow_left,567.0,397.9,786.9,167.1,7.5,1.3
0.266,8,elbow_right,697.3,396.3,788.4,168.9,7.0,1.2
0.300,9,hip_left,574.3,439.4,796.0,72.5,20.8,5.0
0.300,9,hip_right,684.0,449.3,793.8,69.9,19.7,4.7
0.300,9,knee_left,580.8,640.4,800.9,152.6,18.1,3.5
0.300,9,knee_right,680.1,645.8,798.4,156.7,17.5,3.3
0.300,9,ankle_left,583.9,843.4,806.6,87.9,13.7,2.4
0.300,9,ankle_right,679.6,842.0,804.2,87.5,12.4,2.2
0.300,9,shoulder_left,572.2,247.8,792.7,174.6,9.2,1.6
0.300,9,shoulder_right,691.7,249.4,790.3,172.9,8.8,1.5
0.300,9,elbow_left,566.6,397.6,786.5,166.7,7.9,1.4
0.300,9,elbow_right,696.9,396.0,788.0,168.5,7.4,1.3
